場所,カテゴリー,ジャンル1,ジャンル2,座標
Alma Cafe,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.04886435664442, 140.03966420887235"
aux paradis　カフェ,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"36.94218124617874, 140.14680852347587"
Cafe MoonRiver,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.06379443800706, 140.00825423809513"
Cafe&Pie Taragon nasu Ⅱ,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.06183324041068, 140.01429537116482"
CoppiceGARDEN,"全季節, 自然・レジャー, 内外, カップル・友達・女子旅",自然,,"37.019474269097465, 140.0280772526777"
EL BAROLO,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.05788100370436, 140.01212820831933"
Flange,"全季節, レジャー, 内, カップル・友達・女子旅",雑貨屋,,"37.01900776674795, 140.02803325068098"
GOOD NEWS DAIRY,"全季節, 温泉・宿, 内外, ファミリー・カップル・友達・女子旅",飲食店,,"37.02336392691038, 140.03000653350594"
GOOD NEWS FACTORY,"全季節, レジャー・カフェ・レストラン, 内外, 全構成",商業施設,,"37.02600894158675, 140.03044134942976"
GOOD NEWS NEIGHBORS,"全季節, 温泉・宿, 内外, ファミリー・カップル・友達・女子旅",ショップ,,"37.02560813223103, 140.02970612605657"
HAPPY HOME,"全季節, レジャー, 内, カップル・友達・女子旅",雑貨屋,,"37.005913661098425, 140.03359034634323"
Hawaii coffe HONU,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.06631670454408, 140.012846273011"
Hungry Beagles　FARM&CAFE,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.03028167451212, 140.02200883584115"
JARDAIN BLANC,"全季節, レジャー, 内, カップル・友達・女子旅",雑貨屋,,"37.07583954305675, 140.06463054185224"
jazz zero,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,ショップ,"37.09797379066776, 140.03639522630903"
KANEL BREAD NASU,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,ベーカリー,"37.02610036898432, 140.02282160846556"
KIDS PLAYGROUND//NASU,"全季節, レジャー, 内, ファミリー",レジャー,,"37.02633761328433, 140.0301782742803"
KIDS PlLAYGROUND//NASU,"全季節, レジャー, 内, ファミリー",レジャー,,"37.026306651509465, 140.02992481781098"
KiliKili Coffee Roaster Nasu,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,ベーカリー,"37.03283865542175, 140.0593344731987"
KOZARU(那須の森の空中アスレチック),"春・夏・秋, 自然・レジャー, 外, ファミリー・友達・男子旅",レジャー,,"37.06352051908203, 139.9660776703936"
KUROBOSHI SWEETS NASU,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.044236612397604, 140.0159861388213"
LOVE-LABO basic cafe,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.019531660691804, 140.13153328114967"
mamechamame Nasu Coffee Roastery and Dish,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.05141323297528, 140.0102314748677"
